Name	Major	Score
Shawn	Arts	65
Marques	Arts	58
Fernando	Arts	78
Paul	Arts	63
Walter	Arts	75
Derek	Arts	60
Nathaniel	Arts	88
Tyreque	Arts	74
Trevon	Arts	74
Nathan	Arts	71
Zachary	Arts	80
Donovan	Arts	75
Levi	Arts	76
Sage	Arts	55
Roberto	Arts	65
William	Arts	46
Nico	Arts	59
Bryan	Arts	68
Isaiah	Arts	80
David	Business	92
Leonard	Business	87
Tysza	Business	92
Darren	Business	94
Christian	Business	88
Aaron	Business	83
Kerris	Business	82
Dakota	Business	83
Teriuse	Business	94
Caleb	Business	87
Juan	Business	79
Andre	Health-Medicine	72
Diego	Health-Medicine	82
Jonathan	Health-Medicine	100
Kevin	Health-Medicine	100
Patrick	Health-Medicine	92
D'Angelo	Health-Medicine	90
Daniel	Health-Medicine	91
Dilan	Health-Medicine	84
Angel	Health-Medicine	100
Peter	Health-Medicine	86
Dalton	Health-Medicine	100
Israel	Health-Medicine	81
Gabriel	Health-Medicine	100
Chase	Social-Sciences	27
Leroy	Social-Sciences	74
Jesse	Social-Sciences	32
Drake	Social-Sciences	76
Ja'Won	Social-Sciences	37
Joel	Social-Sciences	72
Darius	Social-Sciences	51
David	Social-Sciences	69
Williams	Social-Sciences	62
Manuel	Social-Sciences	61
Lance	Social-Sciences	65
Drake	Social-Sciences	59
Joseph	Social-Sciences	61
Randy	Social-Sciences	68
Justin	Social-Sciences	90
Yeng	Life-Sciences	39
Allen	Life-Sciences	50
Brandon	Life-Sciences	72
Christian	Life-Sciences	67
Aaron	Life-Sciences	58
Gurnam	Life-Sciences	66
Anthony	Life-Sciences	32
Joshua	Life-Sciences	14
Nathen	Life-Sciences	46
Christopher	Life-Sciences	59
John	Life-Sciences	70
Austin	Life-Sciences	91
Antonio	Engineering	88
Faison	Engineering	47
Devin	Engineering	92
Ignatius	Engineering	83
Sonny	Engineering	50
Antonio	Engineering	56
Zackery	Engineering	54
Joe'Quann	Engineering	75
Thanh	Engineering	53
Michael	Engineering	39
Leonardo	Engineering	78
Omar	Engineering	99
Avery	Engineering	51
